run_id,model_name,model_id,model_path,chat_template,quantization,load_dtype,device_map,num_layers,hidden_size,phase2_path,phase2_complete,missing_files,num_prompts,num_labels,num_score_rows,hidden_last_shape,hidden_last_dtype,hidden_last_mb,hidden_spans_shape,hidden_spans_dtype,hidden_spans_mb
jbshield-gemma-phase2-gemma-2-27b-it,gemma-2-27b-it,google/gemma-2-27b-it,google/gemma-2-27b-it,hf,4bit,bfloat16,auto,47,4608,outputs/phase2/jbshield-gemma-phase2-gemma-2-27b-it,True,,7400,7400,12500,"[7400, 47, 4608]",BF16,3056.836,"[7400, 47, 4608]",BF16,3056.836
jbshield-gemma-phase2-gemma-2-9b-it,gemma-2-9b-it,google/gemma-2-9b-it,google/gemma-2-9b-it,hf,8bit,bfloat16,auto,43,3584,outputs/phase2/jbshield-gemma-phase2-gemma-2-9b-it,True,,7400,7400,12500,"[7400, 43, 3584]",BF16,2175.195,"[7400, 43, 3584]",BF16,2175.195
